gem5 Simulator System.  http://gem5.org
gem5 is copyrighted software; use the --copyright option for details.

gem5 version 20.0.0.2
gem5 compiled Sep 14 2020 15:06:02
gem5 started Sep 14 2020 15:19:30
gem5 executing on nanocad-server-testbed, pid 5439
command line: x86o --debug-flags=CoherentXBar simple.py

Global frequency set at 1000000000000 ticks per second
      0: system.l2bus: recvFunctional: src system.l2bus.slave[1] packet WriteReq [8c0:8ff]
      0: system.membus: recvFunctional: src system.membus.slave[0] packet WriteReq [8c0:8ff]
      0: system.l2bus: recvFunctional: src system.l2bus.slave[1] packet WriteReq [900:93f]
      0: system.membus: recvFunctional: src system.membus.slave[0] packet WriteReq [900:93f]
      0: system.l2bus: recvFunctional: src system.l2bus.slave[1] packet WriteReq [940:97f]
      0: system.membus: recvFunctional: src system.membus.slave[0] packet WriteReq [940:97f]
      0: system.l2bus: recvFunctional: src system.l2bus.slave[1] packet WriteReq [980:9bf]
      0: system.membus: recvFunctional: src system.membus.slave[0] packet WriteReq [980:9bf]
      0: system.l2bus: recvFunctional: src system.l2bus.slave[1] packet WriteReq [9c0:9ff]
      0: system.membus: recvFunctional: src system.membus.slave[0] packet WriteReq [9c0:9ff]
      0: system.l2bus: recvFunctional: src system.l2bus.slave[1] packet WriteReq [a00:a3f]
      0: system.membus: recvFunctional: src system.membus.slave[0] packet WriteReq [a00:a3f]
      0: system.l2bus: recvFunctional: src system.l2bus.slave[1] packet WriteReq [a40:a7f]
      0: system.membus: recvFunctional: src system.membus.slave[0] packet WriteReq [a40:a7f]
      0: system.l2bus: recvFunctional: src system.l2bus.slave[1] packet WriteReq [a80:abf]
      0: system.membus: recvFunctional: src system.membus.slave[0] packet WriteReq [a80:abf]
      0: system.l2bus: recvFunctional: src system.l2bus.slave[1] packet WriteReq [ac0:aff]
      0: system.membus: recvFunctional: src system.membus.slave[0] packet WriteReq [ac0:aff]
      0: system.l2bus: recvFunctional: src system.l2bus.slave[1] packet WriteReq [b00:b3f]
      0: system.membus: recvFunctional: src system.membus.slave[0] packet WriteReq [b00:b3f]
      0: system.l2bus: recvFunctional: src system.l2bus.slave[1] packet WriteReq [b40:b7f]
      0: system.membus: recvFunctional: src system.membus.slave[0] packet WriteReq [b40:b7f]
      0: system.l2bus: recvFunctional: src system.l2bus.slave[1] packet WriteReq [b80:bbf]
      0: system.membus: recvFunctional: src system.membus.slave[0] packet WriteReq [b80:bbf]
      0: system.l2bus: recvFunctional: src system.l2bus.slave[1] packet WriteReq [bc0:bff]
      0: system.membus: recvFunctional: src system.membus.slave[0] packet WriteReq [bc0:bff]
      0: system.l2bus: recvFunctional: src system.l2bus.slave[1] packet WriteReq [c00:c3f]
      0: system.membus: recvFunctional: src system.membus.slave[0] packet WriteReq [c00:c3f]
      0: system.l2bus: recvFunctional: src system.l2bus.slave[1] packet WriteReq [c40:c7f]
      0: system.membus: recvFunctional: src system.membus.slave[0] packet WriteReq [c40:c7f]
