,benchmark,Unnamed: 0,1mil,2mil,3mil,4mil,5mil,6mil,7mil
0,0,,1.0,,,,,,
1,1,1.0,,,,,,,
2,2,1.0,0.9972340960523006,0.9942618675013041,0.9931332655137338,0.9933161953727504,0.9933299127757824,0.9948770491803283,0.9912212754970319
3,3,1.0,0.9942283563362608,0.9965544659422211,0.9976683937823834,0.9963513161323944,0.9963398692810453,0.9958473916428758,0.9979002624671914
4,4,1.0,,,,,,,
5,5,1.0,1.0033632286995515,0.9970863554646332,1.0000000000000002,0.9999999999999998,0.9999380382923363,1.0000619655471557,0.9999380382923355
6,6,1.0,0.999141385231826,0.9987860394537174,0.99970853978432,1.0003212335367804,1.0009242144177453,0.9987875113670808,1.0009264978381727
7,7,1.0,,,,,,,
8,8,1.0,0.9994899260392757,0.9845298525501576,0.9916160134143785,0.9871094603452037,0.9884581881533104,0.9058142029607374,0.8950424296560969
9,9,1.0,0.9994801143748374,0.9854651162790697,0.9897326203208557,0.9895951142275501,0.9891062694530892,0.9081437380395496,0.8971577348665656
10,10,1.0,0.9872068230277187,0.9907035175879395,1.0,0.9997241379310343,1.000275862068966,0.9999999999999991,0.9997243660418971
11,11,1.0,0.9971729828850854,0.9995480566435674,0.9996233237908698,0.9996233521657252,0.9997739942745215,0.9993974088580891,0.9995479885490438
12,12,1.0,0.9957446808510637,0.9999223903764068,0.9999999999999994,1.0000000000000007,1.0,1.0,1.0000776156473143
13,13,1.0,0.9918997401803454,1.0002686727565826,0.9986587982832622,1.0,0.9999999999999981,1.000000000000002,1.0
14,14,1.0,0.9995383194829177,2.045454545454546,,,,,
15,15,1.0,0.9928486293206197,0.9883864591055106,0.9886082218920256,0.988639170165473,0.9882005899705014,0.9884007897334635,0.9874260355029578
16,16,1.0,1.0034364261168385,,,,,,
17,17,1.0,0.9977358490566037,0.9939600840336136,0.9982817869415805,0.9749702026221695,0.9899328859060393,0.9702292348913366,0.9351015801354409
18,18,1.0,0.9992594421130586,0.9976726144297902,0.9979959919839684,0.9749776586237714,0.990243902439024,0.97554428869669,0.9496423462088691
19,19,1.0,0.9991982896846606,0.9983927136351459,0.9984301412872839,0.9980736816758977,0.9871794871794861,0.9862195682131389,0.98596733379342
20,20,1.0,0.9859499083689677,0.9678234888531367,,,,,
21,21,1.0,0.9884755357864942,0.9730976172175251,0.983218163869694,0.9938053097345138,0.9943374858437147,,
22,22,1.0,,,,,,,
23,23,1.0,0.9943719621386543,0.9959525094441448,0.9895667951916535,0.9717006083046813,0.9614935822637106,0.9971953879713308,0.9965689332501547
24,24,1.0,,,,,,,
25,25,1.0,,,,,,,
26,26,1.0,1.0,0.9994194484760524,1.000290528762347,0.9991284137129582,1.0002900232018561,0.9997085397843192,1.000290360046458
27,27,1.0,,,,,,,
28,28,1.0,1.0000537721137819,0.9999999999999998,0.9995275962522638,1.0006222775357796,1.0,1.0,0.9996921182266029
29,29,1.0,1.000776785218887,1.0,1.0000539432516986,0.9999460596580184,1.0,1.0000539432516986,0.9999460596580182
