,Name,1mil,2mil,3mil,4mil,5mil,6mil,7mil
0,bwaves_r,0.00020899999999999998,,,,,,
1,bwaves_s,,,,,,,
2,cactuBSSN_r,0.003964,0.0038060000000000004,0.0038980000000000013,0.003859999999999999,0.003866999999999999,0.0038730000000000014,0.0038319999999999986
3,cactuBSSN_s,0.003961999999999999,0.0037600000000000003,0.0038510000000000003,0.003823,0.0038109999999999984,0.003837,0.0037780000000000036
4,cam4_s,,,,,,,
5,deepsjeng_s,0.00358,0.015981000000000002,0.016138,0.016139,0.016137999999999993,0.016139,0.016139
6,exchange2_s,0.0034909999999999997,0.0032960000000000008,0.003425,0.003118000000000001,0.003245999999999999,0.0032939999999999983,0.003242000000000002
7,fotonik3d_s,,,,,,,
8,gcc_r,0.0039109999999999995,0.004064,0.004635,0.004458,0.004476999999999998,0.0042120000000000005,0.004007999999999998
9,gcc_s,0.003833,0.004048000000000001,0.004606999999999998,0.004359000000000002,0.004425999999999999,0.004264999999999998,0.004128000000000003
10,imagick_s,0.004147,0.003939,0.003627,0.0036249999999999998,0.0036250000000000015,0.0036279999999999993,0.0036279999999999993
11,lbm_r,0.012941999999999999,0.01327,0.013269000000000003,0.013270999999999998,0.013270999999999998,0.013268000000000002,0.013268000000000002
12,lbm_s,0.012282,0.012884000000000001,0.012884,0.012884,0.012885,0.012883999999999993,0.012883000000000006
13,leela_s,0.006384,0.0037220000000000005,0.0037210000000000003,0.0037630000000000007,0.003748999999999999,0.0037410000000000013,0.0037449999999999983
14,mcf_r,0.004326,0.004272,0.004265999999999999,0.004267999999999999,0.004277000000000003,0.0042710000000000005,0.004267
15,nab_s,0.0041600000000000005,0.003996999999999999,0.0039889999999999995,0.004003000000000001,0.004014,0.004000999999999998,0.004004000000000004
16,namd_r,0.000291,,,,,,
17,omnetpp_r,0.003964,0.0037819999999999998,0.0034850000000000003,0.0032710000000000013,0.003244999999999998,0.003256000000000002,0.0033139999999999975
18,omnetpp_s,0.0040479999999999995,0.0038510000000000003,0.0034859999999999995,0.0032730000000000016,0.003245999999999999,0.0032720000000000006,0.003318999999999999
19,parest_r,0.003739,0.003648,0.0037799999999999995,0.004102,0.004200999999999998,0.004187000000000003,0.004174999999999998
20,perlbench_r,0.004799,0.004044999999999999,,,,,
21,perlbench_s,0.004833,0.004889,0.004836000000000002,0.004444,0.0017099999999999997,,
22,pop2_s,,,,,,,
23,povray_r,0.003875,0.0036879999999999994,0.004341000000000002,0.0036679999999999977,0.0032970000000000013,0.003199999999999998,0.003195
24,roms_s,,,,,,,
25,wrf_s,,,,,,,
26,x264_s,0.003621,0.003443,0.003442999999999999,0.003439000000000001,0.0034459999999999977,0.003431,0.0034450000000000036
27,xalancbmk_s,,,,,,,
28,xz_r,0.018579,0.01861,0.012706000000000002,0.0032099999999999906,0.0031950000000000103,0.003269000000000001,0.003247999999999994
29,xz_s,0.018034,0.018538,0.018539,0.018538000000000006,0.018539,0.018538999999999986,0.018539000000000028
