,benchmark,Unnamed: 0,1mil,2mil,3mil,4mil,5mil,6mil,7mil
0,0,,1.0192307692307694,,,,,,
1,1,1.0,,,,,,,
2,2,1.0,1.0,0.9997359387377871,0.9994853319608852,0.9997397866250317,0.9997393117831086,0.9999999999999991,1.0
3,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,4,1.0,,,,,,,
5,5,1.0,1.0,0.97375427919361,0.9999999999999996,1.0000000000000007,0.9999999999999991,1.0000619655471557,0.9999380382923362
6,6,1.0,1.0008595988538682,0.9993924665856625,1.0002915451895042,0.9996788696210663,1.0003077870113883,1.0,0.9993829065103356
7,7,1.0,,,,,,,
8,8,1.0,0.9992319508448539,0.9990155057839034,0.9993528904227782,0.9993269015032532,0.9984343547304854,0.9981002137259564,0.9977533699450819
9,9,1.0,0.9992167101827676,0.9987645169261179,1.0000000000000004,0.9999999999999996,0.9988674971687433,0.9985898942420678,1.0
10,10,1.0,0.9990347490347489,0.9989842559674965,1.0,1.0,0.9999999999999996,1.0000000000000009,1.000275785990071
11,11,1.0,0.981561396626128,0.9887014160891838,0.9996233237908695,0.9995480566435663,0.9996986363293915,0.9995480566435658,0.9996233237908709
12,12,1.0,0.9809381733797446,0.9830797888854393,1.0000776156473148,0.9999223843526855,1.0000776156473141,1.0,0.9999223903764067
13,13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
14,14,1.0,0.9995376791493298,0.9997659176029964,1.000937646507267,1.0000000000000004,0.9985964912280698,1.0004686035613874,0.9999999999999986
15,15,1.0,1.0002405002405004,1.0002502502502502,0.9997493106041614,0.9997499374843712,0.9997508719481822,0.9997500624843795,1.0004996252810379
16,16,1.0,0.9965753424657535,,,,,,
17,17,1.0,0.9997474747474749,0.9997355896351137,0.9997130559540889,0.9993887530562341,0.9996919285274181,1.0006144393241172,0.9996982498491259
18,18,1.0,0.999752536500866,0.9997402597402595,0.9997131382673549,0.9993885661877112,1.0021558361564522,0.9987775061124692,1.0003013863773351
19,19,1.0,0.9994650976196844,0.9994514536478337,0.9997351694915252,1.0002443792766371,1.0,1.0002414292612267,0.9997581035316888
20,20,1.0,0.9997914059240719,0.9995029821073556,,,,,
21,21,1.0,0.9991709844559584,0.99568345323741,0.9966763606148734,0.994369369369369,2.6058479532163763,,
22,22,1.0,,,,,,,
23,23,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
24,24,1.0,,,,,,,
25,25,1.0,,,,,,,
26,26,1.0,1.0011058888581699,0.9979710144927535,0.9999999999999998,1.0005819028222294,1.002326934264106,0.997383720930233,1.000580888759803
27,27,1.0,,,,,,,
28,28,1.0,0.9981701738334858,0.9999462654486836,1.0008664828672709,0.9987550575785877,1.0018832391713721,0.9963325183374068,1.0000000000000042
29,29,1.0,0.9999444722083403,1.0,1.0,1.0,1.0,1.0,1.0000000000000016
