,Name,1mil,2mil,3mil,4mil,5mil,6mil,7mil
0,bwaves_r,0.00020800000000000001,,,,,,
1,bwaves_s,,,,,,,
2,cactuBSSN_r,0.003954999999999999,0.0037870000000000004,0.0038859999999999997,0.003843000000000001,0.0038359999999999974,0.0038490000000000017,0.0038230000000000035
3,cactuBSSN_s,0.00396,0.0037469999999999995,0.0038450000000000003,0.003814999999999999,0.003809,0.0038360000000000026,0.003775999999999998
4,cam4_s,,,,,,,
5,deepsjeng_s,0.00358,0.015774,0.016139000000000004,0.016137999999999993,0.016139000000000014,0.016138,0.016138999999999987
6,exchange2_s,0.00349,0.003291999999999999,0.0034300000000000016,0.0031139999999999987,0.003249,0.0032949999999999993,0.0032410000000000043
7,fotonik3d_s,,,,,,,
8,gcc_r,0.003906,0.004063000000000001,0.0046359999999999995,0.004457000000000001,0.004470999999999999,0.0042109999999999995,0.004005999999999999
9,gcc_s,0.0038299999999999996,0.004047,0.004600999999999999,0.004352999999999999,0.004415000000000002,0.004254999999999998,0.004125
10,imagick_s,0.004144,0.003937999999999999,0.0036290000000000003,0.0036240000000000005,0.0036260000000000025,0.003627999999999996,0.0036260000000000008
11,lbm_r,0.012745000000000001,0.013275999999999998,0.013273999999999998,0.01327600000000001,0.013272999999999993,0.01327600000000001,0.013273999999999994
12,lbm_s,0.012066,0.012884,0.012884,0.012884,0.012883999999999993,0.012884000000000007,0.012885000000000008
13,leela_s,0.006375,0.00372,0.0037210000000000003,0.003761000000000002,0.003747999999999998,0.0037370000000000007,0.003743
14,mcf_r,0.004326,0.004272,0.004265999999999999,0.004267999999999999,0.004275000000000001,0.004268000000000001,0.004266000000000002
15,nab_s,0.004158,0.0039959999999999996,0.003989000000000001,0.003998999999999999,0.004014,0.004000999999999998,0.004003000000000003
16,namd_r,0.000292,,,,,,
17,omnetpp_r,0.00396,0.0037819999999999998,0.0034849999999999994,0.0032720000000000023,0.003245999999999999,0.003255000000000001,0.0033139999999999975
18,omnetpp_s,0.0040409999999999995,0.003850000000000001,0.0034859999999999995,0.0032709999999999996,0.003246999999999998,0.0032720000000000006,0.0033180000000000015
19,parest_r,0.003739,0.003645999999999999,0.0037760000000000016,0.004092,0.004154,0.004142,0.004133999999999999
20,perlbench_r,0.004794,0.0040240000000000015,,,,,
21,perlbench_s,0.004825,0.004865,0.004813999999999999,0.0044399999999999995,0.0017099999999999997,,
22,pop2_s,,,,,,,
23,povray_r,0.003875,0.003687,0.0037869999999999996,0.0032949999999999993,0.0032460000000000006,0.003184000000000003,0.0031909999999999994
24,roms_s,,,,,,,
25,wrf_s,,,,,,,
26,x264_s,0.003617,0.0034500000000000004,0.003443,0.003436999999999999,0.003438000000000002,0.0034399999999999986,0.0034430000000000016
27,xalancbmk_s,,,,,,,
28,xz_r,0.018581,0.01861,0.012694999999999998,0.0032130000000000006,0.0031860000000000013,0.003272000000000004,0.003246999999999993
29,xz_s,0.018009,0.018539000000000003,0.018538,0.018538999999999993,0.018539,0.018538,0.018539
